id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
FA_00001,Apple stock will outperform the market in 2024,finance,undecided,0.556,easy,Market analysis,1
FA_00002,Bitcoin is a reliable store of value,finance,undecided,0.664,medium,Volatility data,4
FA_00003,Index funds outperform actively managed funds,finance,supported,0.792,hard,Historical returns,1
FA_00004,Real estate always appreciates,finance,rejected,0.609,expert,2008 crash data,2
FA_00005,Higher interest rates decrease stock prices,finance,supported,0.614,easy,Economic models,1
FA_00006,Diversification reduces portfolio risk,finance,supported,0.752,medium,Modern Portfolio Theory,4
FA_00007,Technical analysis predicts stock movements,finance,undecided,0.654,hard,Backtesting results,4
FA_00008,Gold is a hedge against inflation,finance,supported,0.865,expert,Historical correlation,1
FA_00009,Tesla is overvalued,finance,undecided,0.889,easy,P/E comparisons,1
FA_00010,Cryptocurrency will replace fiat currency,finance,rejected,0.899,medium,Adoption rates,3
FA_00011,Apple stock will outperform the market in 2024 (context 1),finance,undecided,0.623,expert,Market analysis,4
FA_00012,Bitcoin is a reliable store of value (context 1),finance,undecided,0.67,easy,Volatility data,4
FA_00013,Index funds outperform actively managed funds (context 1),finance,supported,0.597,medium,Historical returns,1
FA_00014,Real estate always appreciates (context 1),finance,rejected,0.552,hard,2008 crash data,4
FA_00015,Higher interest rates decrease stock prices (context 1),finance,supported,0.768,expert,Economic models,1
FA_00016,Diversification reduces portfolio risk (context 1),finance,supported,0.857,easy,Modern Portfolio Theory,3
FA_00017,Technical analysis predicts stock movements (context 1),finance,undecided,0.793,medium,Backtesting results,1
FA_00018,Gold is a hedge against inflation (context 1),finance,supported,0.751,hard,Historical correlation,2
FA_00019,Tesla is overvalued (context 1),finance,undecided,0.854,expert,P/E comparisons,1
FA_00020,Cryptocurrency will replace fiat currency (context 1),finance,rejected,0.859,easy,Adoption rates,3
FA_00021,Apple stock will outperform the market in 2024 (context 2),finance,undecided,0.887,hard,Market analysis,1
FA_00022,Bitcoin is a reliable store of value (context 2),finance,undecided,0.626,expert,Volatility data,3
FA_00023,Index funds outperform actively managed funds (context 2),finance,supported,0.873,easy,Historical returns,2
FA_00024,Real estate always appreciates (context 2),finance,rejected,0.809,medium,2008 crash data,1
FA_00025,Higher interest rates decrease stock prices (context 2),finance,supported,0.575,hard,Economic models,1
FA_00026,Diversification reduces portfolio risk (context 2),finance,supported,0.554,expert,Modern Portfolio Theory,1
FA_00027,Technical analysis predicts stock movements (context 2),finance,undecided,0.697,easy,Backtesting results,1
FA_00028,Gold is a hedge against inflation (context 2),finance,supported,0.581,medium,Historical correlation,3
FA_00029,Tesla is overvalued (context 2),finance,undecided,0.877,hard,P/E comparisons,1
FA_00030,Cryptocurrency will replace fiat currency (context 2),finance,rejected,0.617,expert,Adoption rates,3
FA_00031,Apple stock will outperform the market in 2024 (context 3),finance,undecided,0.815,medium,Market analysis,3
