id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
SH_00001,Quantum entanglement enables faster-than-light communication,science,rejected,0.652,easy,Physics papers,2
SH_00002,CRISPR can cure genetic diseases in humans,science,undecided,0.797,medium,Clinical trials,4
SH_00003,Dark matter accounts for 27% of the universe,science,supported,0.659,hard,Astrophysics data,1
SH_00004,Vaccines cause autism,science,rejected,0.679,expert,Epidemiological studies,3
SH_00005,Exercise reduces risk of heart disease,science,supported,0.928,easy,Meta-analyses,3
SH_00006,GMOs are harmful to human health,science,rejected,0.66,medium,FDA studies,4
SH_00007,Meditation reduces cortisol levels,science,supported,0.825,hard,Clinical studies,3
SH_00008,Homeopathy is effective beyond placebo,science,rejected,0.856,expert,Cochrane reviews,4
SH_00009,Climate change is primarily human-caused,science,supported,0.635,easy,IPCC reports,4
SH_00010,Cold weather causes the common cold,science,rejected,0.588,medium,Virology research,3
SH_00011,Quantum entanglement enables faster-than-light communication (context 1),science,rejected,0.899,expert,Physics papers,2
SH_00012,CRISPR can cure genetic diseases in humans (context 1),science,undecided,0.713,easy,Clinical trials,3
SH_00013,Dark matter accounts for 27% of the universe (context 1),science,supported,0.765,medium,Astrophysics data,1
SH_00014,Vaccines cause autism (context 1),science,rejected,0.926,hard,Epidemiological studies,3
SH_00015,Exercise reduces risk of heart disease (context 1),science,supported,0.619,expert,Meta-analyses,2
SH_00016,GMOs are harmful to human health (context 1),science,rejected,0.855,easy,FDA studies,2
SH_00017,Meditation reduces cortisol levels (context 1),science,supported,0.702,medium,Clinical studies,1
SH_00018,Homeopathy is effective beyond placebo (context 1),science,rejected,0.719,hard,Cochrane reviews,1
SH_00019,Climate change is primarily human-caused (context 1),science,supported,0.89,expert,IPCC reports,3
SH_00020,Cold weather causes the common cold (context 1),science,rejected,0.914,easy,Virology research,2
SH_00021,Quantum entanglement enables faster-than-light communication (context 2),science,rejected,0.595,hard,Physics papers,4
SH_00022,CRISPR can cure genetic diseases in humans (context 2),science,undecided,0.612,expert,Clinical trials,3
SH_00023,Dark matter accounts for 27% of the universe (context 2),science,supported,0.752,easy,Astrophysics data,1
SH_00024,Vaccines cause autism (context 2),science,rejected,0.836,medium,Epidemiological studies,2
SH_00025,Exercise reduces risk of heart disease (context 2),science,supported,0.713,hard,Meta-analyses,3
SH_00026,GMOs are harmful to human health (context 2),science,rejected,0.912,expert,FDA studies,1
SH_00027,Meditation reduces cortisol levels (context 2),science,supported,0.621,easy,Clinical studies,1
SH_00028,Homeopathy is effective beyond placebo (context 2),science,rejected,0.835,medium,Cochrane reviews,2
SH_00029,Climate change is primarily human-caused (context 2),science,supported,0.691,hard,IPCC reports,3
SH_00030,Cold weather causes the common cold (context 2),science,rejected,0.752,expert,Virology research,2
SH_00031,Quantum entanglement enables faster-than-light communication (context 3),science,rejected,0.805,medium,Physics papers,2
SH_00032,CRISPR can cure genetic diseases in humans (context 3),science,undecided,0.769,hard,Clinical trials,1
SH_00033,Dark matter accounts for 27% of the universe (context 3),science,supported,0.775,expert,Astrophysics data,4
SH_00034,Vaccines cause autism (context 3),science,rejected,0.664,easy,Epidemiological studies,3
SH_00035,Exercise reduces risk of heart disease (context 3),science,supported,0.57,medium,Meta-analyses,1
SH_00036,GMOs are harmful to human health (context 3),science,rejected,0.697,hard,FDA studies,4
SH_00037,Meditation reduces cortisol levels (context 3),science,supported,0.832,expert,Clinical studies,1
SH_00038,Homeopathy is effective beyond placebo (context 3),science,rejected,0.646,easy,Cochrane reviews,4
SH_00039,Climate change is primarily human-caused (context 3),science,supported,0.604,medium,IPCC reports,3
SH_00040,Cold weather causes the common cold (context 3),science,rejected,0.705,hard,Virology research,4
SH_00041,Quantum entanglement enables faster-than-light communication (context 4),science,rejected,0.585,easy,Physics papers,3
SH_00042,CRISPR can cure genetic diseases in humans (context 4),science,undecided,0.862,medium,Clinical trials,1
SH_00043,Dark matter accounts for 27% of the universe (context 4),science,supported,0.588,hard,Astrophysics data,4
SH_00044,Vaccines cause autism (context 4),science,rejected,0.702,expert,Epidemiological studies,4
SH_00045,Exercise reduces risk of heart disease (context 4),science,supported,0.907,easy,Meta-analyses,3
SH_00046,GMOs are harmful to human health (context 4),science,rejected,0.64,medium,FDA studies,2
SH_00047,Meditation reduces cortisol levels (context 4),science,supported,0.871,hard,Clinical studies,3
SH_00048,Homeopathy is effective beyond placebo (context 4),science,rejected,0.856,expert,Cochrane reviews,2
SH_00049,Climate change is primarily human-caused (context 4),science,supported,0.852,easy,IPCC reports,1
SH_00050,Cold weather causes the common cold (context 4),science,rejected,0.661,medium,Virology research,4
SH_00051,Quantum entanglement enables faster-than-light communication (context 5),science,rejected,0.557,expert,Physics papers,4
SH_00052,CRISPR can cure genetic diseases in humans (context 5),science,undecided,0.778,easy,Clinical trials,1
SH_00053,Dark matter accounts for 27% of the universe (context 5),science,supported,0.755,medium,Astrophysics data,2
SH_00054,Vaccines cause autism (context 5),science,rejected,0.634,hard,Epidemiological studies,2
SH_00055,Exercise reduces risk of heart disease (context 5),science,supported,0.95,expert,Meta-analyses,3
SH_00056,GMOs are harmful to human health (context 5),science,rejected,0.853,easy,FDA studies,4
SH_00057,Meditation reduces cortisol levels (context 5),science,supported,0.927,medium,Clinical studies,3
SH_00058,Homeopathy is effective beyond placebo (context 5),science,rejected,0.658,hard,Cochrane reviews,3
SH_00059,Climate change is primarily human-caused (context 5),science,supported,0.736,expert,IPCC reports,2
