id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
TC_00001,Python is faster than C++,technology,rejected,0.765,easy,Benchmark data,3
TC_00002,Cloud computing is more secure than on-premises,technology,undecided,0.874,medium,Security audits,2
TC_00003,React outperforms Angular for large applications,technology,undecided,0.769,hard,Performance tests,3
TC_00004,SSDs are more reliable than HDDs,technology,supported,0.798,expert,Failure rate data,1
TC_00005,5G networks pose health risks,technology,rejected,0.828,easy,WHO/FCC studies,4
TC_00006,Open source software is more secure,technology,undecided,0.816,medium,CVE analysis,3
TC_00007,Machine learning models are biased,technology,supported,0.747,hard,Fairness audits,3
TC_00008,Quantum computers will break encryption by 2030,technology,undecided,0.86,expert,Expert forecasts,4
TC_00009,Electric vehicles are better for the environment,technology,supported,0.674,easy,Lifecycle analysis,4
TC_00010,NoSQL databases scale better than SQL,technology,undecided,0.673,medium,Architecture comparison,3
TC_00011,Python is faster than C++ (context 1),technology,rejected,0.814,expert,Benchmark data,1
TC_00012,Cloud computing is more secure than on-premises (context 1),technology,undecided,0.809,easy,Security audits,4
TC_00013,React outperforms Angular for large applications (context 1),technology,undecided,0.718,medium,Performance tests,1
TC_00014,SSDs are more reliable than HDDs (context 1),technology,supported,0.612,hard,Failure rate data,2
TC_00015,5G networks pose health risks (context 1),technology,rejected,0.87,expert,WHO/FCC studies,4
TC_00016,Open source software is more secure (context 1),technology,undecided,0.614,easy,CVE analysis,2
TC_00017,Machine learning models are biased (context 1),technology,supported,0.589,medium,Fairness audits,2
TC_00018,Quantum computers will break encryption by 2030 (context 1),technology,undecided,0.879,hard,Expert forecasts,2
TC_00019,Electric vehicles are better for the environment (context 1),technology,supported,0.693,expert,Lifecycle analysis,1
TC_00020,NoSQL databases scale better than SQL (context 1),technology,undecided,0.705,easy,Architecture comparison,2
TC_00021,Python is faster than C++ (context 2),technology,rejected,0.56,hard,Benchmark data,3
TC_00022,Cloud computing is more secure than on-premises (context 2),technology,undecided,0.598,expert,Security audits,2
TC_00023,React outperforms Angular for large applications (context 2),technology,undecided,0.611,easy,Performance tests,3
TC_00024,SSDs are more reliable than HDDs (context 2),technology,supported,0.567,medium,Failure rate data,3
TC_00025,5G networks pose health risks (context 2),technology,rejected,0.696,hard,WHO/FCC studies,1
TC_00026,Open source software is more secure (context 2),technology,undecided,0.693,expert,CVE analysis,4
TC_00027,Machine learning models are biased (context 2),technology,supported,0.585,easy,Fairness audits,1
TC_00028,Quantum computers will break encryption by 2030 (context 2),technology,undecided,0.894,medium,Expert forecasts,2
TC_00029,Electric vehicles are better for the environment (context 2),technology,supported,0.883,hard,Lifecycle analysis,1
TC_00030,NoSQL databases scale better than SQL (context 2),technology,undecided,0.881,expert,Architecture comparison,3
TC_00031,Python is faster than C++ (context 3),technology,rejected,0.719,medium,Benchmark data,4
TC_00032,Cloud computing is more secure than on-premises (context 3),technology,undecided,0.656,hard,Security audits,4
TC_00033,React outperforms Angular for large applications (context 3),technology,undecided,0.692,expert,Performance tests,4
TC_00034,SSDs are more reliable than HDDs (context 3),technology,supported,0.84,easy,Failure rate data,2
TC_00035,5G networks pose health risks (context 3),technology,rejected,0.789,medium,WHO/FCC studies,4
TC_00036,Open source software is more secure (context 3),technology,undecided,0.907,hard,CVE analysis,2
TC_00037,Machine learning models are biased (context 3),technology,supported,0.883,expert,Fairness audits,4
TC_00038,Quantum computers will break encryption by 2030 (context 3),technology,undecided,0.928,easy,Expert forecasts,2
TC_00039,Electric vehicles are better for the environment (context 3),technology,supported,0.812,medium,Lifecycle analysis,4
TC_00040,NoSQL databases scale better than SQL (context 3),technology,undecided,0.927,hard,Architecture comparison,1
TC_00041,Python is faster than C++ (context 4),technology,rejected,0.708,easy,Benchmark data,4
TC_00042,Cloud computing is more secure than on-premises (context 4),technology,undecided,0.621,medium,Security audits,1
TC_00043,React outperforms Angular for large applications (context 4),technology,undecided,0.743,hard,Performance tests,4
TC_00044,SSDs are more reliable than HDDs (context 4),technology,supported,0.813,expert,Failure rate data,1
TC_00045,5G networks pose health risks (context 4),technology,rejected,0.6,easy,WHO/FCC studies,2
TC_00046,Open source software is more secure (context 4),technology,undecided,0.855,medium,CVE analysis,3
TC_00047,Machine learning models are biased (context 4),technology,supported,0.747,hard,Fairness audits,3
TC_00048,Quantum computers will break encryption by 2030 (context 4),technology,undecided,0.759,expert,Expert forecasts,2
TC_00049,Electric vehicles are better for the environment (context 4),technology,supported,0.926,easy,Lifecycle analysis,4
TC_00050,NoSQL databases scale better than SQL (context 4),technology,undecided,0.781,medium,Architecture comparison,3
TC_00051,Python is faster than C++ (context 5),technology,rejected,0.913,expert,Benchmark data,4
TC_00052,Cloud computing is more secure than on-premises (context 5),technology,undecided,0.899,easy,Security audits,1
TC_00053,React outperforms Angular for large applications (context 5),technology,undecided,0.914,medium,Performance tests,3
TC_00054,SSDs are more reliable than HDDs (context 5),technology,supported,0.822,hard,Failure rate data,2
TC_00055,5G networks pose health risks (context 5),technology,rejected,0.761,expert,WHO/FCC studies,4
TC_00056,Open source software is more secure (context 5),technology,undecided,0.65,easy,CVE analysis,3
TC_00057,Machine learning models are biased (context 5),technology,supported,0.848,medium,Fairness audits,3
TC_00058,Quantum computers will break encryption by 2030 (context 5),technology,undecided,0.574,hard,Expert forecasts,3
TC_00059,Electric vehicles are better for the environment (context 5),technology,supported,0.919,expert,Lifecycle analysis,3
TC_00060,NoSQL databases scale better than SQL (context 5),technology,undecided,0.943,easy,Architecture comparison,2
TC_00061,Python is faster than C++ (context 6),technology,rejected,0.735,hard,Benchmark data,1
TC_00062,Cloud computing is more secure than on-premises (context 6),technology,undecided,0.698,expert,Security audits,4
TC_00063,React outperforms Angular for large applications (context 6),technology,undecided,0.778,easy,Performance tests,1
TC_00064,SSDs are more reliable than HDDs (context 6),technology,supported,0.586,medium,Failure rate data,1
TC_00065,5G networks pose health risks (context 6),technology,rejected,0.608,hard,WHO/FCC studies,1
