id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
HI_00001,The Roman Empire fell due to lead poisoning,history,rejected,0.731,easy,Archaeological evidence,1
HI_00002,The American Civil War was primarily about slavery,history,supported,0.696,medium,Primary sources,4
HI_00003,Columbus discovered America,history,rejected,0.698,hard,Pre-Columbian evidence,2
HI_00004,The French Revolution improved conditions for peasants,history,undecided,0.761,expert,Social history,1
HI_00005,The atomic bombs were necessary to end WWII,history,undecided,0.875,easy,Military history,3
HI_00006,The Renaissance began in Italy,history,supported,0.577,medium,Art history,3
HI_00007,The Industrial Revolution improved quality of life,history,undecided,0.689,hard,Living standards data,2
HI_00008,Alexander the Great was undefeated,history,supported,0.609,expert,Battle records,2
HI_00009,The Great Depression was caused by the 1929 crash,history,undecided,0.863,easy,Economic history,4
HI_00010,The moon landing was faked,history,rejected,0.607,medium,Scientific evidence,1
HI_00011,The Roman Empire fell due to lead poisoning (context 1),history,rejected,0.929,expert,Archaeological evidence,3
HI_00012,The American Civil War was primarily about slavery (context 1),history,supported,0.645,easy,Primary sources,3
HI_00013,Columbus discovered America (context 1),history,rejected,0.676,medium,Pre-Columbian evidence,3
HI_00014,The French Revolution improved conditions for peasants (context 1),history,undecided,0.856,hard,Social history,1
HI_00015,The atomic bombs were necessary to end WWII (context 1),history,undecided,0.873,expert,Military history,4
HI_00016,The Renaissance began in Italy (context 1),history,supported,0.748,easy,Art history,2
HI_00017,The Industrial Revolution improved quality of life (context 1),history,undecided,0.658,medium,Living standards data,2
HI_00018,Alexander the Great was undefeated (context 1),history,supported,0.919,hard,Battle records,3
HI_00019,The Great Depression was caused by the 1929 crash (context 1),history,undecided,0.83,expert,Economic history,4
HI_00020,The moon landing was faked (context 1),history,rejected,0.875,easy,Scientific evidence,2
HI_00021,The Roman Empire fell due to lead poisoning (context 2),history,rejected,0.747,hard,Archaeological evidence,1
HI_00022,The American Civil War was primarily about slavery (context 2),history,supported,0.579,expert,Primary sources,2
HI_00023,Columbus discovered America (context 2),history,rejected,0.64,easy,Pre-Columbian evidence,2
HI_00024,The French Revolution improved conditions for peasants (context 2),history,undecided,0.613,medium,Social history,1
HI_00025,The atomic bombs were necessary to end WWII (context 2),history,undecided,0.774,hard,Military history,1
HI_00026,The Renaissance began in Italy (context 2),history,supported,0.863,expert,Art history,3
HI_00027,The Industrial Revolution improved quality of life (context 2),history,undecided,0.795,easy,Living standards data,1
HI_00028,Alexander the Great was undefeated (context 2),history,supported,0.665,medium,Battle records,3
HI_00029,The Great Depression was caused by the 1929 crash (context 2),history,undecided,0.764,hard,Economic history,1
HI_00030,The moon landing was faked (context 2),history,rejected,0.782,expert,Scientific evidence,3
HI_00031,The Roman Empire fell due to lead poisoning (context 3),history,rejected,0.658,medium,Archaeological evidence,3
