id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
ER_00001,Global temperatures will rise 2°C by 2050,environment,supported,0.72,easy,Climate models,2
ER_00002,Plastic pollution is the biggest ocean threat,environment,undecided,0.79,medium,Marine research,1
ER_00003,Nuclear power is the safest energy source,environment,supported,0.573,hard,Mortality data,1
ER_00004,Deforestation causes 10% of global emissions,environment,supported,0.888,expert,UNFCCC data,2
ER_00005,Electric cars will solve air pollution,environment,rejected,0.645,easy,Grid emissions,2
ER_00006,Coral reefs will disappear by 2050,environment,undecided,0.836,medium,Marine biology,2
ER_00007,Recycling significantly reduces waste,environment,undecided,0.618,hard,Garbage audits,2
ER_00008,Organic farming is more sustainable,environment,undecided,0.801,expert,Land use data,3
ER_00009,Sea levels will rise 1 meter by 2100,environment,undecided,0.7,easy,IPCC projections,3
ER_00010,Renewable energy can fully replace fossil fuels,environment,undecided,0.713,medium,Grid stability,4
ER_00011,Global temperatures will rise 2°C by 2050 (context 1),environment,supported,0.595,expert,Climate models,4
ER_00012,Plastic pollution is the biggest ocean threat (context 1),environment,undecided,0.568,easy,Marine research,1
ER_00013,Nuclear power is the safest energy source (context 1),environment,supported,0.89,medium,Mortality data,3
ER_00014,Deforestation causes 10% of global emissions (context 1),environment,supported,0.656,hard,UNFCCC data,2
ER_00015,Electric cars will solve air pollution (context 1),environment,rejected,0.578,expert,Grid emissions,4
ER_00016,Coral reefs will disappear by 2050 (context 1),environment,undecided,0.632,easy,Marine biology,2
ER_00017,Recycling significantly reduces waste (context 1),environment,undecided,0.574,medium,Garbage audits,1
ER_00018,Organic farming is more sustainable (context 1),environment,undecided,0.789,hard,Land use data,1
ER_00019,Sea levels will rise 1 meter by 2100 (context 1),environment,undecided,0.88,expert,IPCC projections,3
ER_00020,Renewable energy can fully replace fossil fuels (context 1),environment,undecided,0.86,easy,Grid stability,1
ER_00021,Global temperatures will rise 2°C by 2050 (context 2),environment,supported,0.82,hard,Climate models,4
ER_00022,Plastic pollution is the biggest ocean threat (context 2),environment,undecided,0.656,expert,Marine research,2
ER_00023,Nuclear power is the safest energy source (context 2),environment,supported,0.885,easy,Mortality data,1
ER_00024,Deforestation causes 10% of global emissions (context 2),environment,supported,0.807,medium,UNFCCC data,2
ER_00025,Electric cars will solve air pollution (context 2),environment,rejected,0.946,hard,Grid emissions,4
ER_00026,Coral reefs will disappear by 2050 (context 2),environment,undecided,0.909,expert,Marine biology,3
ER_00027,Recycling significantly reduces waste (context 2),environment,undecided,0.58,easy,Garbage audits,1
ER_00028,Organic farming is more sustainable (context 2),environment,undecided,0.744,medium,Land use data,2
ER_00029,Sea levels will rise 1 meter by 2100 (context 2),environment,undecided,0.896,hard,IPCC projections,4
ER_00030,Renewable energy can fully replace fossil fuels (context 2),environment,undecided,0.564,expert,Grid stability,2
ER_00031,Global temperatures will rise 2°C by 2050 (context 3),environment,supported,0.555,medium,Climate models,4
ER_00032,Plastic pollution is the biggest ocean threat (context 3),environment,undecided,0.812,hard,Marine research,4
ER_00033,Nuclear power is the safest energy source (context 3),environment,supported,0.716,expert,Mortality data,4
ER_00034,Deforestation causes 10% of global emissions (context 3),environment,supported,0.908,easy,UNFCCC data,2
ER_00035,Electric cars will solve air pollution (context 3),environment,rejected,0.592,medium,Grid emissions,3
ER_00036,Coral reefs will disappear by 2050 (context 3),environment,undecided,0.72,hard,Marine biology,1
ER_00037,Recycling significantly reduces waste (context 3),environment,undecided,0.641,expert,Garbage audits,2
ER_00038,Organic farming is more sustainable (context 3),environment,undecided,0.746,easy,Land use data,3
ER_00039,Sea levels will rise 1 meter by 2100 (context 3),environment,undecided,0.623,medium,IPCC projections,4
ER_00040,Renewable energy can fully replace fossil fuels (context 3),environment,undecided,0.843,hard,Grid stability,2
ER_00041,Global temperatures will rise 2°C by 2050 (context 4),environment,supported,0.808,easy,Climate models,1
ER_00042,Plastic pollution is the biggest ocean threat (context 4),environment,undecided,0.845,medium,Marine research,4
ER_00043,Nuclear power is the safest energy source (context 4),environment,supported,0.59,hard,Mortality data,1
ER_00044,Deforestation causes 10% of global emissions (context 4),environment,supported,0.87,expert,UNFCCC data,4
ER_00045,Electric cars will solve air pollution (context 4),environment,rejected,0.635,easy,Grid emissions,4
ER_00046,Coral reefs will disappear by 2050 (context 4),environment,undecided,0.602,medium,Marine biology,3
ER_00047,Recycling significantly reduces waste (context 4),environment,undecided,0.717,hard,Garbage audits,3
ER_00048,Organic farming is more sustainable (context 4),environment,undecided,0.84,expert,Land use data,4
ER_00049,Sea levels will rise 1 meter by 2100 (context 4),environment,undecided,0.689,easy,IPCC projections,2
ER_00050,Renewable energy can fully replace fossil fuels (context 4),environment,undecided,0.849,medium,Grid stability,2
ER_00051,Global temperatures will rise 2°C by 2050 (context 5),environment,supported,0.604,expert,Climate models,3
ER_00052,Plastic pollution is the biggest ocean threat (context 5),environment,undecided,0.564,easy,Marine research,2
ER_00053,Nuclear power is the safest energy source (context 5),environment,supported,0.857,medium,Mortality data,2
ER_00054,Deforestation causes 10% of global emissions (context 5),environment,supported,0.568,hard,UNFCCC data,4
ER_00055,Electric cars will solve air pollution (context 5),environment,rejected,0.667,expert,Grid emissions,2
ER_00056,Coral reefs will disappear by 2050 (context 5),environment,undecided,0.937,easy,Marine biology,3
ER_00057,Recycling significantly reduces waste (context 5),environment,undecided,0.757,medium,Garbage audits,1
ER_00058,Organic farming is more sustainable (context 5),environment,undecided,0.92,hard,Land use data,4
ER_00059,Sea levels will rise 1 meter by 2100 (context 5),environment,undecided,0.916,expert,IPCC projections,3
ER_00060,Renewable energy can fully replace fossil fuels (context 5),environment,undecided,0.834,easy,Grid stability,1
ER_00061,Global temperatures will rise 2°C by 2050 (context 6),environment,supported,0.749,hard,Climate models,1
ER_00062,Plastic pollution is the biggest ocean threat (context 6),environment,undecided,0.666,expert,Marine research,1
ER_00063,Nuclear power is the safest energy source (context 6),environment,supported,0.766,easy,Mortality data,4
ER_00064,Deforestation causes 10% of global emissions (context 6),environment,supported,0.856,medium,UNFCCC data,1
ER_00065,Electric cars will solve air pollution (context 6),environment,rejected,0.932,hard,Grid emissions,4
ER_00066,Coral reefs will disappear by 2050 (context 6),environment,undecided,0.877,expert,Marine biology,3
ER_00067,Recycling significantly reduces waste (context 6),environment,undecided,0.745,easy,Garbage audits,1
ER_00068,Organic farming is more sustainable (context 6),environment,undecided,0.647,medium,Land use data,1
ER_00069,Sea levels will rise 1 meter by 2100 (context 6),environment,undecided,0.949,hard,IPCC projections,4
ER_00070,Renewable energy can fully replace fossil fuels (context 6),environment,undecided,0.791,expert,Grid stability,2
ER_00071,Global temperatures will rise 2°C by 2050 (context 7),environment,supported,0.949,medium,Climate models,4
ER_00072,Plastic pollution is the biggest ocean threat (context 7),environment,undecided,0.88,hard,Marine research,3
