id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
PI_00001,Minimum wage increases lead to job losses,policy,undecided,0.894,easy,Labor economics,1
PI_00002,Universal basic income reduces poverty,policy,undecided,0.926,medium,Pilot studies,1
PI_00003,Carbon taxes effectively reduce emissions,policy,supported,0.643,hard,European data,2
PI_00004,Strict gun laws reduce gun violence,policy,supported,0.841,expert,Comparative studies,2
PI_00005,Free trade benefits all parties equally,policy,rejected,0.943,easy,Trade deficit data,1
PI_00006,Immigration boosts economic growth,policy,supported,0.763,medium,GDP analysis,4
PI_00007,Rent control reduces housing supply,policy,supported,0.715,hard,Housing market data,3
PI_00008,Higher education subsidies increase enrollment,policy,supported,0.941,expert,Enrollment data,2
PI_00009,War on drugs has reduced drug use,policy,rejected,0.787,easy,Prevalence data,2
PI_00010,Affirmative action improves diversity,policy,supported,0.557,medium,University data,4
PI_00011,Minimum wage increases lead to job losses (context 1),policy,undecided,0.842,expert,Labor economics,1
PI_00012,Universal basic income reduces poverty (context 1),policy,undecided,0.765,easy,Pilot studies,2
PI_00013,Carbon taxes effectively reduce emissions (context 1),policy,supported,0.864,medium,European data,2
PI_00014,Strict gun laws reduce gun violence (context 1),policy,supported,0.736,hard,Comparative studies,1
PI_00015,Free trade benefits all parties equally (context 1),policy,rejected,0.595,expert,Trade deficit data,1
PI_00016,Immigration boosts economic growth (context 1),policy,supported,0.652,easy,GDP analysis,2
PI_00017,Rent control reduces housing supply (context 1),policy,supported,0.897,medium,Housing market data,3
PI_00018,Higher education subsidies increase enrollment (context 1),policy,supported,0.794,hard,Enrollment data,4
PI_00019,War on drugs has reduced drug use (context 1),policy,rejected,0.83,expert,Prevalence data,2
PI_00020,Affirmative action improves diversity (context 1),policy,supported,0.84,easy,University data,3
PI_00021,Minimum wage increases lead to job losses (context 2),policy,undecided,0.561,hard,Labor economics,4
PI_00022,Universal basic income reduces poverty (context 2),policy,undecided,0.911,expert,Pilot studies,1
PI_00023,Carbon taxes effectively reduce emissions (context 2),policy,supported,0.76,easy,European data,2
PI_00024,Strict gun laws reduce gun violence (context 2),policy,supported,0.893,medium,Comparative studies,1
PI_00025,Free trade benefits all parties equally (context 2),policy,rejected,0.721,hard,Trade deficit data,3
PI_00026,Immigration boosts economic growth (context 2),policy,supported,0.92,expert,GDP analysis,2
PI_00027,Rent control reduces housing supply (context 2),policy,supported,0.941,easy,Housing market data,2
PI_00028,Higher education subsidies increase enrollment (context 2),policy,supported,0.585,medium,Enrollment data,4
PI_00029,War on drugs has reduced drug use (context 2),policy,rejected,0.9,hard,Prevalence data,1
PI_00030,Affirmative action improves diversity (context 2),policy,supported,0.563,expert,University data,4
PI_00031,Minimum wage increases lead to job losses (context 3),policy,undecided,0.899,medium,Labor economics,2
PI_00032,Universal basic income reduces poverty (context 3),policy,undecided,0.73,hard,Pilot studies,3
PI_00033,Carbon taxes effectively reduce emissions (context 3),policy,supported,0.594,expert,European data,2
PI_00034,Strict gun laws reduce gun violence (context 3),policy,supported,0.903,easy,Comparative studies,2
PI_00035,Free trade benefits all parties equally (context 3),policy,rejected,0.931,medium,Trade deficit data,3
PI_00036,Immigration boosts economic growth (context 3),policy,supported,0.871,hard,GDP analysis,1
PI_00037,Rent control reduces housing supply (context 3),policy,supported,0.944,expert,Housing market data,4
PI_00038,Higher education subsidies increase enrollment (context 3),policy,supported,0.582,easy,Enrollment data,4
PI_00039,War on drugs has reduced drug use (context 3),policy,rejected,0.756,medium,Prevalence data,4
PI_00040,Affirmative action improves diversity (context 3),policy,supported,0.555,hard,University data,2
PI_00041,Minimum wage increases lead to job losses (context 4),policy,undecided,0.79,easy,Labor economics,1
PI_00042,Universal basic income reduces poverty (context 4),policy,undecided,0.801,medium,Pilot studies,1
PI_00043,Carbon taxes effectively reduce emissions (context 4),policy,supported,0.898,hard,European data,1
PI_00044,Strict gun laws reduce gun violence (context 4),policy,supported,0.733,expert,Comparative studies,4
PI_00045,Free trade benefits all parties equally (context 4),policy,rejected,0.842,easy,Trade deficit data,3
PI_00046,Immigration boosts economic growth (context 4),policy,supported,0.938,medium,GDP analysis,2
PI_00047,Rent control reduces housing supply (context 4),policy,supported,0.575,hard,Housing market data,4
PI_00048,Higher education subsidies increase enrollment (context 4),policy,supported,0.633,expert,Enrollment data,1
