id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
FC_00001,The Earth is round,general,supported,0.7457245325549323,easy,Scientific consensus; textbook references,3
FC_00002,Water boils at 100°C at sea level,general,supported,0.8315758170647475,easy,Scientific consensus; textbook references,2
FC_00003,The Great Wall of China is visible from space,general,rejected,0.6345921849429215,easy,Scientific consensus; textbook references,3
FC_00004,Humans use only 10% of their brain,general,rejected,0.8280496306951038,easy,Scientific consensus; textbook references,2
FC_00005,Lightning never strikes the same place twice,general,rejected,0.7744962756902954,easy,Scientific consensus; textbook references,2
FC_00006,The Sun is a star,general,supported,0.8666920849106641,easy,Scientific consensus; textbook references,1
FC_00007,Goldfish have a 3-second memory,general,rejected,0.6990400808837511,easy,Scientific consensus; textbook references,3
FC_00008,Bats are blind,general,rejected,0.8408432579486195,easy,Scientific consensus; textbook references,1
FC_00009,Mount Everest is the tallest mountain on Earth,general,supported,0.8376374587632023,easy,Scientific consensus; textbook references,2
FC_00010,The Amazon is the longest river in the world,general,rejected,0.6897128827654179,easy,Scientific consensus; textbook references,3
FC_00011,The Earth is round - variation 1,general,supported,0.8969134432067642,medium,Scientific consensus; textbook references,2
FC_00012,Water boils at 100°C at sea level - variation 1,general,supported,0.7804788684698917,medium,Scientific consensus; textbook references,1
FC_00013,The Great Wall of China is visible from space - variation 1,general,rejected,0.6514329949841776,medium,Scientific consensus; textbook references,2
FC_00014,Humans use only 10% of their brain - variation 1,general,rejected,0.8122141020794085,medium,Scientific consensus; textbook references,3
FC_00015,Lightning never strikes the same place twice - variation 1,general,rejected,0.7255910170045549,medium,Scientific consensus; textbook references,2
FC_00016,The Sun is a star - variation 1,general,supported,0.9118376507678919,medium,Scientific consensus; textbook references,3
FC_00017,Goldfish have a 3-second memory - variation 1,general,rejected,0.6432855142963632,medium,Scientific consensus; textbook references,3
FC_00018,Bats are blind - variation 1,general,rejected,0.8077316222416339,medium,Scientific consensus; textbook references,2
FC_00019,Mount Everest is the tallest mountain on Earth - variation 1,general,supported,0.70794335095554,medium,Scientific consensus; textbook references,3
FC_00020,The Amazon is the longest river in the world - variation 1,general,rejected,0.7463535919683306,medium,Scientific consensus; textbook references,2
FC_00021,The Earth is round - variation 2,general,supported,0.6829055695442021,hard,Scientific consensus; textbook references,1
FC_00022,Water boils at 100°C at sea level - variation 2,general,supported,0.9254598246732857,hard,Scientific consensus; textbook references,1
FC_00023,The Great Wall of China is visible from space - variation 2,general,rejected,0.7278283203604499,hard,Scientific consensus; textbook references,1
FC_00024,Humans use only 10% of their brain - variation 2,general,rejected,0.8209607582041285,hard,Scientific consensus; textbook references,3
FC_00025,Lightning never strikes the same place twice - variation 2,general,rejected,0.6650411298568871,hard,Scientific consensus; textbook references,2
FC_00026,The Sun is a star - variation 2,general,supported,0.735618182554663,hard,Scientific consensus; textbook references,1
