id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
LR_00001,The defendant had a right to self-defense,legal,undecided,0.565,easy,Case precedents,3
LR_00002,Intellectual property protection stifles innovation,legal,undecided,0.716,medium,Economic analysis,3
LR_00003,The contract was validly formed,legal,supported,0.695,hard,Contract law,2
LR_00004,The search violates the Fourth Amendment,legal,undecided,0.646,expert,Constitutional law,3
LR_00005,The employer is liable for workplace harassment,legal,supported,0.552,easy,Title VII,4
LR_00006,The patent claim is obvious,legal,undecided,0.732,medium,Prior art search,1
LR_00007,The testimony is admissible under hearsay rules,legal,rejected,0.921,hard,Evidence rules,3
LR_00008,The merger will harm competition,legal,undecided,0.87,expert,Antitrust analysis,3
LR_00009,The defendant meets the insanity defense criteria,legal,undecided,0.685,easy,Psychiatric evaluation,4
LR_00010,The non-compete clause is enforceable,legal,rejected,0.863,medium,State law precedents,2
LR_00011,The defendant had a right to self-defense (context 1),legal,undecided,0.861,expert,Case precedents,2
LR_00012,Intellectual property protection stifles innovation (context 1),legal,undecided,0.608,easy,Economic analysis,2
LR_00013,The contract was validly formed (context 1),legal,supported,0.79,medium,Contract law,4
LR_00014,The search violates the Fourth Amendment (context 1),legal,undecided,0.635,hard,Constitutional law,2
LR_00015,The employer is liable for workplace harassment (context 1),legal,supported,0.779,expert,Title VII,3
LR_00016,The patent claim is obvious (context 1),legal,undecided,0.608,easy,Prior art search,3
LR_00017,The testimony is admissible under hearsay rules (context 1),legal,rejected,0.913,medium,Evidence rules,1
LR_00018,The merger will harm competition (context 1),legal,undecided,0.664,hard,Antitrust analysis,3
LR_00019,The defendant meets the insanity defense criteria (context 1),legal,undecided,0.943,expert,Psychiatric evaluation,3
LR_00020,The non-compete clause is enforceable (context 1),legal,rejected,0.605,easy,State law precedents,3
LR_00021,The defendant had a right to self-defense (context 2),legal,undecided,0.748,hard,Case precedents,2
LR_00022,Intellectual property protection stifles innovation (context 2),legal,undecided,0.798,expert,Economic analysis,1
LR_00023,The contract was validly formed (context 2),legal,supported,0.57,easy,Contract law,3
LR_00024,The search violates the Fourth Amendment (context 2),legal,undecided,0.846,medium,Constitutional law,4
LR_00025,The employer is liable for workplace harassment (context 2),legal,supported,0.594,hard,Title VII,4
LR_00026,The patent claim is obvious (context 2),legal,undecided,0.561,expert,Prior art search,2
LR_00027,The testimony is admissible under hearsay rules (context 2),legal,rejected,0.674,easy,Evidence rules,3
LR_00028,The merger will harm competition (context 2),legal,undecided,0.612,medium,Antitrust analysis,2
LR_00029,The defendant meets the insanity defense criteria (context 2),legal,undecided,0.732,hard,Psychiatric evaluation,4
LR_00030,The non-compete clause is enforceable (context 2),legal,rejected,0.874,expert,State law precedents,1
LR_00031,The defendant had a right to self-defense (context 3),legal,undecided,0.846,medium,Case precedents,3
LR_00032,Intellectual property protection stifles innovation (context 3),legal,undecided,0.949,hard,Economic analysis,1
LR_00033,The contract was validly formed (context 3),legal,supported,0.758,expert,Contract law,3
LR_00034,The search violates the Fourth Amendment (context 3),legal,undecided,0.942,easy,Constitutional law,4
LR_00035,The employer is liable for workplace harassment (context 3),legal,supported,0.763,medium,Title VII,1
LR_00036,The patent claim is obvious (context 3),legal,undecided,0.819,hard,Prior art search,3
LR_00037,The testimony is admissible under hearsay rules (context 3),legal,rejected,0.691,expert,Evidence rules,3
LR_00038,The merger will harm competition (context 3),legal,undecided,0.804,easy,Antitrust analysis,1
LR_00039,The defendant meets the insanity defense criteria (context 3),legal,undecided,0.825,medium,Psychiatric evaluation,3
LR_00040,The non-compete clause is enforceable (context 3),legal,rejected,0.805,hard,State law precedents,1
LR_00041,The defendant had a right to self-defense (context 4),legal,undecided,0.921,easy,Case precedents,3
LR_00042,Intellectual property protection stifles innovation (context 4),legal,undecided,0.59,medium,Economic analysis,1
LR_00043,The contract was validly formed (context 4),legal,supported,0.769,hard,Contract law,4
LR_00044,The search violates the Fourth Amendment (context 4),legal,undecided,0.793,expert,Constitutional law,4
LR_00045,The employer is liable for workplace harassment (context 4),legal,supported,0.802,easy,Title VII,2
LR_00046,The patent claim is obvious (context 4),legal,undecided,0.604,medium,Prior art search,2
LR_00047,The testimony is admissible under hearsay rules (context 4),legal,rejected,0.769,hard,Evidence rules,4
LR_00048,The merger will harm competition (context 4),legal,undecided,0.872,expert,Antitrust analysis,2
LR_00049,The defendant meets the insanity defense criteria (context 4),legal,undecided,0.789,easy,Psychiatric evaluation,4
LR_00050,The non-compete clause is enforceable (context 4),legal,rejected,0.761,medium,State law precedents,4
LR_00051,The defendant had a right to self-defense (context 5),legal,undecided,0.649,expert,Case precedents,4
LR_00052,Intellectual property protection stifles innovation (context 5),legal,undecided,0.758,easy,Economic analysis,1
LR_00053,The contract was validly formed (context 5),legal,supported,0.651,medium,Contract law,3
LR_00054,The search violates the Fourth Amendment (context 5),legal,undecided,0.798,hard,Constitutional law,4
LR_00055,The employer is liable for workplace harassment (context 5),legal,supported,0.689,expert,Title VII,2
LR_00056,The patent claim is obvious (context 5),legal,undecided,0.559,easy,Prior art search,3
LR_00057,The testimony is admissible under hearsay rules (context 5),legal,rejected,0.7,medium,Evidence rules,2
LR_00058,The merger will harm competition (context 5),legal,undecided,0.613,hard,Antitrust analysis,1
LR_00059,The defendant meets the insanity defense criteria (context 5),legal,undecided,0.901,expert,Psychiatric evaluation,2
LR_00060,The non-compete clause is enforceable (context 5),legal,rejected,0.627,easy,State law precedents,2
LR_00061,The defendant had a right to self-defense (context 6),legal,undecided,0.801,hard,Case precedents,1
LR_00062,Intellectual property protection stifles innovation (context 6),legal,undecided,0.555,expert,Economic analysis,3
LR_00063,The contract was validly formed (context 6),legal,supported,0.681,easy,Contract law,3
LR_00064,The search violates the Fourth Amendment (context 6),legal,undecided,0.573,medium,Constitutional law,1
LR_00065,The employer is liable for workplace harassment (context 6),legal,supported,0.89,hard,Title VII,3
LR_00066,The patent claim is obvious (context 6),legal,undecided,0.816,expert,Prior art search,2
LR_00067,The testimony is admissible under hearsay rules (context 6),legal,rejected,0.906,easy,Evidence rules,1
LR_00068,The merger will harm competition (context 6),legal,undecided,0.927,medium,Antitrust analysis,2
LR_00069,The defendant meets the insanity defense criteria (context 6),legal,undecided,0.728,hard,Psychiatric evaluation,2
LR_00070,The non-compete clause is enforceable (context 6),legal,rejected,0.578,expert,State law precedents,2
LR_00071,The defendant had a right to self-defense (context 7),legal,undecided,0.914,medium,Case precedents,2
LR_00072,Intellectual property protection stifles innovation (context 7),legal,undecided,0.83,hard,Economic analysis,4
LR_00073,The contract was validly formed (context 7),legal,supported,0.684,expert,Contract law,2
LR_00074,The search violates the Fourth Amendment (context 7),legal,undecided,0.695,easy,Constitutional law,2
LR_00075,The employer is liable for workplace harassment (context 7),legal,supported,0.643,medium,Title VII,2
LR_00076,The patent claim is obvious (context 7),legal,undecided,0.692,hard,Prior art search,1
LR_00077,The testimony is admissible under hearsay rules (context 7),legal,rejected,0.709,expert,Evidence rules,1
LR_00078,The merger will harm competition (context 7),legal,undecided,0.738,easy,Antitrust analysis,3
LR_00079,The defendant meets the insanity defense criteria (context 7),legal,undecided,0.871,medium,Psychiatric evaluation,2
LR_00080,The non-compete clause is enforceable (context 7),legal,rejected,0.828,hard,State law precedents,3
LR_00081,The defendant had a right to self-defense (context 8),legal,undecided,0.634,easy,Case precedents,1
LR_00082,Intellectual property protection stifles innovation (context 8),legal,undecided,0.676,medium,Economic analysis,2
LR_00083,The contract was validly formed (context 8),legal,supported,0.823,hard,Contract law,4
LR_00084,The search violates the Fourth Amendment (context 8),legal,undecided,0.673,expert,Constitutional law,1
LR_00085,The employer is liable for workplace harassment (context 8),legal,supported,0.657,easy,Title VII,3
