id,proposition,domain,ground_truth,confidence,difficulty,evidence_hints,expected_rounds
ME_00001,Aspirin reduces heart attack risk,medical,supported,0.699,easy,RCT evidence,4
ME_00002,Vitamin D supplements prevent COVID-19,medical,rejected,0.888,medium,Clinical trials,3
ME_00003,Ivermectin effectively treats COVID-19,medical,rejected,0.578,hard,Meta-analyses,4
ME_00004,Statins reduce cardiovascular mortality,medical,supported,0.757,expert,Large-scale trials,3
ME_00005,Antidepressants are effective for mild depression,medical,undecided,0.901,easy,Mixed trial results,4
ME_00006,Intermittent fasting extends lifespan,medical,undecided,0.666,medium,Animal studies only,3
ME_00007,Chemotherapy is effective for early-stage cancer,medical,supported,0.786,hard,Survival data,3
ME_00008,Glucosamine helps joint pain,medical,rejected,0.607,expert,Systematic reviews,2
ME_00009,Probiotics improve gut health,medical,supported,0.663,easy,Microbiome research,4
ME_00010,Acupuncture reduces chronic pain,medical,undecided,0.583,medium,Placebo concerns,3
ME_00011,Aspirin reduces heart attack risk (context 1),medical,supported,0.78,expert,RCT evidence,2
ME_00012,Vitamin D supplements prevent COVID-19 (context 1),medical,rejected,0.74,easy,Clinical trials,1
ME_00013,Ivermectin effectively treats COVID-19 (context 1),medical,rejected,0.829,medium,Meta-analyses,1
ME_00014,Statins reduce cardiovascular mortality (context 1),medical,supported,0.551,hard,Large-scale trials,2
ME_00015,Antidepressants are effective for mild depression (context 1),medical,undecided,0.765,expert,Mixed trial results,3
ME_00016,Intermittent fasting extends lifespan (context 1),medical,undecided,0.905,easy,Animal studies only,3
ME_00017,Chemotherapy is effective for early-stage cancer (context 1),medical,supported,0.831,medium,Survival data,3
ME_00018,Glucosamine helps joint pain (context 1),medical,rejected,0.727,hard,Systematic reviews,3
ME_00019,Probiotics improve gut health (context 1),medical,supported,0.581,expert,Microbiome research,3
ME_00020,Acupuncture reduces chronic pain (context 1),medical,undecided,0.583,easy,Placebo concerns,3
ME_00021,Aspirin reduces heart attack risk (context 2),medical,supported,0.808,hard,RCT evidence,4
ME_00022,Vitamin D supplements prevent COVID-19 (context 2),medical,rejected,0.637,expert,Clinical trials,1
ME_00023,Ivermectin effectively treats COVID-19 (context 2),medical,rejected,0.944,easy,Meta-analyses,3
ME_00024,Statins reduce cardiovascular mortality (context 2),medical,supported,0.591,medium,Large-scale trials,2
ME_00025,Antidepressants are effective for mild depression (context 2),medical,undecided,0.586,hard,Mixed trial results,3
ME_00026,Intermittent fasting extends lifespan (context 2),medical,undecided,0.761,expert,Animal studies only,3
ME_00027,Chemotherapy is effective for early-stage cancer (context 2),medical,supported,0.553,easy,Survival data,3
ME_00028,Glucosamine helps joint pain (context 2),medical,rejected,0.623,medium,Systematic reviews,3
ME_00029,Probiotics improve gut health (context 2),medical,supported,0.662,hard,Microbiome research,1
ME_00030,Acupuncture reduces chronic pain (context 2),medical,undecided,0.821,expert,Placebo concerns,1
ME_00031,Aspirin reduces heart attack risk (context 3),medical,supported,0.95,medium,RCT evidence,2
ME_00032,Vitamin D supplements prevent COVID-19 (context 3),medical,rejected,0.922,hard,Clinical trials,2
ME_00033,Ivermectin effectively treats COVID-19 (context 3),medical,rejected,0.913,expert,Meta-analyses,4
ME_00034,Statins reduce cardiovascular mortality (context 3),medical,supported,0.645,easy,Large-scale trials,2
ME_00035,Antidepressants are effective for mild depression (context 3),medical,undecided,0.774,medium,Mixed trial results,3
ME_00036,Intermittent fasting extends lifespan (context 3),medical,undecided,0.782,hard,Animal studies only,2
ME_00037,Chemotherapy is effective for early-stage cancer (context 3),medical,supported,0.712,expert,Survival data,3
ME_00038,Glucosamine helps joint pain (context 3),medical,rejected,0.801,easy,Systematic reviews,3
ME_00039,Probiotics improve gut health (context 3),medical,supported,0.725,medium,Microbiome research,1
ME_00040,Acupuncture reduces chronic pain (context 3),medical,undecided,0.742,hard,Placebo concerns,2
ME_00041,Aspirin reduces heart attack risk (context 4),medical,supported,0.572,easy,RCT evidence,3
ME_00042,Vitamin D supplements prevent COVID-19 (context 4),medical,rejected,0.658,medium,Clinical trials,4
ME_00043,Ivermectin effectively treats COVID-19 (context 4),medical,rejected,0.734,hard,Meta-analyses,4
ME_00044,Statins reduce cardiovascular mortality (context 4),medical,supported,0.797,expert,Large-scale trials,3
ME_00045,Antidepressants are effective for mild depression (context 4),medical,undecided,0.645,easy,Mixed trial results,3
ME_00046,Intermittent fasting extends lifespan (context 4),medical,undecided,0.836,medium,Animal studies only,3
ME_00047,Chemotherapy is effective for early-stage cancer (context 4),medical,supported,0.755,hard,Survival data,1
ME_00048,Glucosamine helps joint pain (context 4),medical,rejected,0.855,expert,Systematic reviews,4
ME_00049,Probiotics improve gut health (context 4),medical,supported,0.708,easy,Microbiome research,1
ME_00050,Acupuncture reduces chronic pain (context 4),medical,undecided,0.884,medium,Placebo concerns,3
ME_00051,Aspirin reduces heart attack risk (context 5),medical,supported,0.734,expert,RCT evidence,4
ME_00052,Vitamin D supplements prevent COVID-19 (context 5),medical,rejected,0.679,easy,Clinical trials,2
ME_00053,Ivermectin effectively treats COVID-19 (context 5),medical,rejected,0.902,medium,Meta-analyses,4
ME_00054,Statins reduce cardiovascular mortality (context 5),medical,supported,0.749,hard,Large-scale trials,3
ME_00055,Antidepressants are effective for mild depression (context 5),medical,undecided,0.883,expert,Mixed trial results,2
ME_00056,Intermittent fasting extends lifespan (context 5),medical,undecided,0.885,easy,Animal studies only,4
ME_00057,Chemotherapy is effective for early-stage cancer (context 5),medical,supported,0.785,medium,Survival data,3
ME_00058,Glucosamine helps joint pain (context 5),medical,rejected,0.794,hard,Systematic reviews,1
ME_00059,Probiotics improve gut health (context 5),medical,supported,0.612,expert,Microbiome research,4
ME_00060,Acupuncture reduces chronic pain (context 5),medical,undecided,0.753,easy,Placebo concerns,4
ME_00061,Aspirin reduces heart attack risk (context 6),medical,supported,0.814,hard,RCT evidence,3
ME_00062,Vitamin D supplements prevent COVID-19 (context 6),medical,rejected,0.759,expert,Clinical trials,2
ME_00063,Ivermectin effectively treats COVID-19 (context 6),medical,rejected,0.801,easy,Meta-analyses,4
